"AnimalID","reg_0","reg_0b","reg_0c","t_0","Mass_std","Sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
6111,"C GULF","Other","East",2000,-0.732471283676346,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6112,"C GULF","Other","East",2000,0.312547942079582,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6113,"C GULF","Other","East",2000,-0.504467088965962,"M",1,2,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6114,"C GULF","Other","East",2000,0.445550388993972,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6115,"C GULF","Other","East",2000,-0.0864593986635906,"M",1,8,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6116,"C GULF","Other","East",2000,1.20556437136192,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6117,"C GULF","Other","East",2000,1.31956646871711,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6118,"C GULF","Other","East",2000,-0.276462894255577,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6121,"C GULF","Other","East",2000,-0.0104580004267962,"M",1,2,3,4,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6122,"C GULF","Other","East",2000,-1.3404824695707,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6128,"C GULF","Other","East",2000,-1.98649435458346,"M",1,8,3,8,8,8,8,7,8,7,8,8,8,7,8,8,8,8,8
6129,"C GULF","Other","East",2000,-0.884474080149935,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6130,"C GULF","Other","East",2000,-0.542467788084359,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6132,"C GULF","Other","East",2000,-1.75849015987307,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6133,"C GULF","Other","East",2000,-0.884474080149935,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6134,"C GULF","Other","East",2000,-1.56848666428109,"M",1,8,3,8,5,6,7,8,7,7,7,7,8,8,8,8,8,8,8
6135,"C GULF","Other","East",2000,-2.06249575282025,"M",1,8,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6137,"C GULF","Other","East",2000,-1.83449155810987,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6143,"C GULF","Other","East",2000,-0.314463593373975,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6145,"C GULF","Other","East",2000,-1.07447757574192,"M",1,8,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6146,"C GULF","Other","East",2000,-1.4164838678075,"M",1,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8
6147,"C GULF","Other","East",2000,-1.98649435458346,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6151,"C GULF","Other","East",2000,-1.60648736339948,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6152,"C GULF","Other","East",2000,-0.96047547838673,"M",1,8,8,8,8,8,8,8,7,7,8,8,8,8,8,8,8,8,8
6153,"C GULF","Other","East",2000,-0.618469186321154,"M",1,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8
6154,"C GULF","Other","East",2000,0.711555282822753,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6160,"C GULF","Other","East",2000,1.01556087576993,"M",1,2,8,4,8,6,7,7,7,7,7,7,7,8,8,8,8,8,8
6161,"C GULF","Other","East",2000,-0.39046499161077,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6162,"C GULF","Other","East",2000,-0.846473381031537,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6164,"C GULF","Other","East",2000,-1.15047897397872,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6169,"C GULF","Other","East",2000,0.749555981941151,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6175,"C GULF","Other","East",2000,-0.0484586995451941,"M",1,2,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6176,"C GULF","Other","East",2000,-0.276462894255577,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6179,"C GULF","Other","East",2000,1.09156227400673,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6183,"C GULF","Other","East",2000,-0.0864593986635906,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6185,"C GULF","Other","East",2000,-1.22648037221551,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6187,"C GULF","Other","East",2000,-2.29049994753064,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6188,"C GULF","Other","East",2000,0.559552486349164,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6190,"C GULF","Other","East",2000,-1.3784831686891,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6191,"C GULF","Other","East",2000,-0.770471982794743,"M",1,2,3,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6194,"C GULF","Other","East",2000,0.103544096928396,"M",1,8,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6196,"C GULF","Other","East",2000,1.31956646871711,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
