"AnimalID","reg_0","reg_0b","reg_0c","t_0","Mass_std","Sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
6127,"C GULF","Other","East",2000,0.324856668964722,"F",1,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11,11,11,11
6131,"C GULF","Other","East",2000,-1.27765090962576,"F",1,2,3,4,5,7,9,10,9,10,10,10,10,10,10,10,11,11,11
6136,"C GULF","Other","East",2000,-1.6175767596298,"F",1,11,11,11,11,7,11,9,9,9,10,10,10,9,10,9,11,9,10
6138,"C GULF","Other","East",2000,0.0334916546755441,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6139,"C GULF","Other","East",2000,-0.35499503104336,"F",1,11,11,11,11,11,11,11,9,9,9,11,9,9,11,11,11,11,11
6140,"C GULF","Other","East",2000,0.179174161820132,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6141,"C GULF","Other","East",2000,-0.403555866758223,"F",1,11,11,11,5,7,11,9,9,10,10,10,11,11,11,11,11,11,11
6142,"C GULF","Other","East",2000,0.470539176109311,"F",1,11,11,4,5,7,9,11,9,11,9,11,11,11,11,11,11,11,11
6144,"C GULF","Other","East",2000,-1.47189425248521,"F",1,11,3,4,11,11,11,9,9,11,9,9,11,11,11,11,11,11,11
6148,"C GULF","Other","East",2000,-2.05462428106356,"F",1,11,11,11,5,11,11,11,10,10,10,10,10,10,10,10,10,11,11
6149,"C GULF","Other","East",2000,-1.27765090962576,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6150,"C GULF","Other","East",2000,0.907586697543077,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6155,"C GULF","Other","East",2000,0.616221683253899,"F",1,11,11,4,11,7,9,11,10,10,10,10,10,10,10,10,9,9,10
6156,"C GULF","Other","East",2000,-0.160751688183908,"F",1,11,3,4,5,11,11,9,9,11,11,11,11,11,11,11,11,11,11
6157,"C GULF","Other","East",2000,0.179174161820132,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6158,"C GULF","Other","East",2000,-0.209312523898771,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6159,"C GULF","Other","East",2000,0.421978340394447,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6163,"C GULF","Other","East",2000,-1.42333341677034,"F",1,2,3,4,5,7,9,9,10,9,10,10,9,10,10,10,9,9,11
6165,"C GULF","Other","East",2000,-1.52045508820007,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6166,"C GULF","Other","East",2000,-0.549238373902812,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6167,"C GULF","Other","East",2000,-0.889164223906852,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6168,"C GULF","Other","East",2000,0.664782518968762,"F",1,2,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6170,"C GULF","Other","East",2000,-0.0150691810393187,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6171,"C GULF","Other","East",2000,-0.35499503104336,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6172,"C GULF","Other","East",2000,-2.34598929535274,"F",1,2,3,11,11,11,9,11,9,11,10,10,11,9,11,11,11,11,11
6173,"C GULF","Other","East",2000,0.470539176109311,"F",1,2,3,11,11,11,11,11,9,10,10,9,9,9,10,10,9,11,9
6174,"C GULF","Other","East",2000,2.60721594756328,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6177,"C GULF","Other","East",2000,-1.22909007391089,"F",1,2,3,4,11,11,11,9,10,10,10,10,10,10,10,9,9,9,10
6178,"C GULF","Other","East",2000,-1.22909007391089,"F",1,11,11,11,11,11,11,11,10,11,10,10,11,10,10,10,11,11,11
6180,"C GULF","Other","East",2000,-0.452116702473086,"F",1,2,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6181,"C GULF","Other","East",2000,-0.452116702473086,"F",1,11,11,4,5,11,11,9,9,10,9,11,11,10,9,9,9,11,11
6182,"C GULF","Other","East",2000,-0.112190852469045,"F",1,11,3,11,5,11,9,11,9,11,11,11,11,11,11,11,11,11,11
6184,"C GULF","Other","East",2000,0.616221683253899,"F",1,2,11,4,11,7,11,9,9,10,10,11,10,9,10,9,9,9,10
6186,"C GULF","Other","East",2000,-0.743481716762263,"F",1,11,11,4,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6189,"C GULF","Other","East",2000,0.227734997534996,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6192,"C GULF","Other","East",2000,1.10183004040253,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6193,"C GULF","Other","East",2000,-0.403555866758223,"F",1,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6195,"C GULF","Other","East",2000,-1.81182010248925,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6197,"C GULF","Other","East",2000,-0.257873359613634,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
