"","region","year","est.pred","se.pred","ci.pred.lower","ci.pred.upper","est.real","se.real","ci.real.lower","ci.real.upper","surveyed"
"18","C ALEU",1995,3154.78105338603,312.185888262416,2754.93479563459,3581.75682309125,3154.78105338603,312.185888262416,2754.93479563459,3581.75682309125,0
"19","C ALEU",1996,3063.44653320688,286.060495307975,2703.98729137489,3470.69035963313,3063.44653320688,286.060495307975,2703.98729137489,3470.69035963313,0
"20","C ALEU",1997,3011.53293497012,270.652991748831,2661.89709944839,3405.77643580443,3124.00800431572,245.405740157971,2849.38392878584,3473.38533612866,1
"21","C ALEU",1998,2985.7440123956,254.464064144999,2640.59170512369,3345.93554379161,3078.76298947727,199.485943983211,2950.28316111167,3329.84545706055,1
"22","C ALEU",1999,2973.65206307312,240.032430907246,2648.67407111852,3347.24687983327,2972.78499249162,239.807412255577,2643.40887940582,3341.07148061962,1
"23","C ALEU",2000,2968.4237124648,233.749776651864,2640.4148066683,3326.00548016106,2961.06005142292,230.808946229593,2624.15461529225,3303.92602733126,1
"24","C ALEU",2001,2959.45293224386,221.87380515199,2635.46358315665,3300.37801203072,2748.09962103294,158.859374935055,2595.90736469279,2966.33843634525,1
"25","C ALEU",2002,2952.86608593813,214.55345493295,2641.51216880566,3298.41359357359,2951.01332974425,171.085129038517,2722.9239474653,3205.04666259033,1
"26","C ALEU",2003,2932.1233817481,206.720696731082,2616.28992794065,3257.03331135045,2932.1233817481,206.720696731082,2616.28992794065,3257.03331135045,0
"27","C ALEU",2004,2906.31818628184,199.079844725409,2617.97987662452,3238.90925389731,2857.98601138732,124.347096589456,2714.81213046931,3042.27824751847,1
"28","C ALEU",2005,2874.62835412932,189.321371995291,2561.66070218395,3164.00182201755,2936.24908288504,100.992448171972,2830.69897124527,3081.98481549735,1
"29","C ALEU",2006,2840.16989173464,183.101156601238,2555.15449926707,3140.26113951595,2840.16989173464,183.101156601238,2555.15449926707,3140.26113951595,0
"30","C ALEU",2007,2795.28432941893,177.895662026425,2507.13259153513,3086.69853395473,2754.80616835329,174.639089039631,2486.76895541209,3055.54696531068,1
"31","C ALEU",2008,2749.18896389082,174.613662214175,2464.13990975447,3034.55812411997,2749.18896389082,174.613662214175,2464.13990975447,3034.55812411997,0
"32","C ALEU",2009,2703.42685654422,168.701951641665,2443.43966410669,2998.74165275247,2773.91529351553,49.6588266488539,2720.21214718308,2850.6897892195,1
"33","C ALEU",2010,2660.1827177163,168.59927174371,2398.02686629472,2946.01187105313,2667.1997373347,55.135854817497,2586.29055359564,2757.17370785807,1
"34","C ALEU",2011,2615.63073074789,164.066699428322,2338.47406191256,2874.09538964805,2584.95818727725,67.6318600772184,2473.71283118866,2696.08320441621,1
"35","C ALEU",2012,2571.47327288749,166.055976555146,2292.55000847153,2834.80663049999,2571.47327288749,166.055976555146,2292.55000847153,2834.80663049999,0
"36","C ALEU",2013,2522.41420175078,166.601838354434,2235.61534372845,2786.35780075974,2527.29000978873,165.863073118746,2259.25588349211,2807.08252418009,1
"37","C ALEU",2014,2472.2922245835,170.93897672475,2200.7528341568,2759.56184265138,2402.9891990907,45.203766493176,2327.93198439364,2474.92219966348,1
"38","C ALEU",2015,2408.4649124197,170.762870578357,2132.51918562032,2693.1114073205,2404.16570361877,166.148361296732,2130.19047872286,2675.40317351709,1
"39","C ALEU",2016,2344.20011989127,174.860038643215,2059.21808659164,2629.18562808352,2382.35668931951,79.5146642100474,2261.03367006841,2513.56552407629,1
"40","C ALEU",2017,2278.9391231648,188.374624178223,1983.50423105482,2596.55371770378,2270.42643084112,184.957593102211,1974.91242305551,2570.84239712196,1
"41","C ALEU",2018,2232.05113100033,212.127092693553,1907.74800296303,2586.49320127129,2196.81252957567,128.285873312528,2022.22108766801,2399.68605230456,1
"42","C ALEU",2019,2201.74474949087,249.911036566789,1821.87762573083,2615.79647885765,2201.74474949087,249.911036566789,1821.87762573083,2615.79647885765,0
"43","C ALEU",2020,2203.13479351877,309.797292466023,1752.49435359637,2699.0356766069,2203.13479351877,309.797292466023,1752.49435359637,2699.0356766069,0
"44","C ALEU",2021,2251.18652898367,391.425423991647,1719.36863973289,2897.83608827218,2251.18652898367,391.425423991647,1719.36863973289,2897.83608827218,0
"45","E ALEU",1978,41153.3884975977,334169.56497149,13293.2238605848,95128.7912078872,41153.3884975977,334169.56497149,13293.2238605848,95128.7912078872,0
"46","E ALEU",1979,29182.4853010365,126788.018439459,12399.3597128943,59273.0629102747,29031.2287470369,126786.545754714,12389.1235061222,59326.4574523836,1
"47","E ALEU",1980,21044.3737205642,49355.001970749,10933.3333805235,38463.3099384618,21044.3737205642,49355.001970749,10933.3333805235,38463.3099384618,0
