SITE,REGION,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Type
HORN CLIFF,SE AK,,0,0,0,,,0,,0,,,NP
INIAN,SE AK,560,,718,249,,,500,,365,,243,NP
JACOB ROCK,SE AK,,101,300,220.5,,,314,,257,,333,NP
KAIUCHALI (BIORKA),SE AK,,30.5,5,17.5,,,22,,76,,10,NP
LARCH BAY,SE AK,,28,0,0,,,0,,0,,0,NP
MIST,SE AK,,0,0,0,,,0,,,,0,NP
PATTERSON POINT,SE AK,,0,,0,,,0,,,,,NP
PINTA ROCKS,SE AK,,0,0,0,,,0,,0,,0,NP
POINT CAROLUS,SE AK,,0,0,0,,,0,,30,,0,NP
POINT ISLET (POINT ROCK),SE AK,,,,0,,,0,,0,,0,NP
POINT LEAGUE (STEVENS PASSAGE),SE AK,,1,0,0,,,0,,0,,0,NP
POINT LULL,SE AK,,153,162,0,,,0,,0,,0,NP
POINT MARSH,SE AK,,4,0,2,,,8,,19,,4,NP
ROCKY ISLAND,SE AK,,,,,,,,,,,125,NP
ROUND ROCK,SE AK,,0,0,0,,,0,,0,,0,NP
SAIL,SE AK,,3,495.5,0,,,416,,518,,4,NP
SAKIE POINT,SE AK,,0,0,0,,,,,0,,0,NP
SEA LION ISLANDS,SE AK,,137,298,271,,,542,,556,,524,NP
SEA LION ROCK (PUFFIN BAY),SE AK,,0,124,113,,,218,,136,,108,NP
SOUTH MARBLE,SE AK,,786,1009.5,1457.5,,,762,,1952,,910,NP
ST. LAZARIA,SE AK,,0,0,0,,,0,,0,,0,NP
SUNSET,SE AK,,384,322.5,399.5,,,616,,560,,1140,NP
TENAKEE CANNERY POINT,SE AK,,0,0,0,,,0,,0,,0,NP
THE BROTHERS,SE AK,,764.5,537,828,,,515,,691,,258,NP
THE SISTERS,SE AK,,0,0,0,,,0,,0,,0,NP
TIMBERED,SE AK,,288,4,444.5,,,420,,514,,516,NP
TURNABOUT,SE AK,,0,0,0,,,0,,0,,0,NP
VENISA,SE AK,,0,0,0,,,0,,0,,0,NP
WEST ROCK,SE AK,,841,869,713,,,302,,769,,702,NP
WHITE SISTERS,SE AK,,1131.5,1435,1557,,,1666,,1446,,1678,NP
WOLF ROCK,SE AK,,300,170,245,,,246,,504,,422,NP
YASHA,SE AK,,378.5,612,450.5,,,846,,680,,442,NP
BIALI ROCK,SE AK,,,144,,,,185,,204,,202,Pup
CAPE ADDINGTON,SE AK,,,,,,,3,,1,,1,Pup
CAPE OMMANEY,SE AK,,,1,,,,2,,0,,0,Pup
EASTERLY,SE AK,,,1,,,,2,,0,,1,Pup
FORRESTER,SE AK,,,4036,,,,3214,,3954,,3663,Pup
GRAVES ROCK,SE AK,,,440,,,,551,,502,,474,Pup
HAZY,SE AK,,,1976,,,,1837,,1994,,1750,Pup
JACOB ROCK,SE AK,,,2,,,,,,1,,2,Pup
SEA LION ISLANDS,SE AK,,,0,,,,2,,4,,2,Pup
SOUTH MARBLE,SE AK,,,0,,,,7,,7,,6,Pup
SUNSET,SE AK,,,1,,,,2,,2,,5,Pup
THE BROTHERS/SW,SE AK,,,2,,,,,,0,,0,Pup
TIMBERED,SE AK,,,,,,,4,,5,,9,Pup
WEST ROCK,SE AK,,,2,,,,0,,1,,1,Pup
WHITE SISTERS,SE AK,,,847,,,,924,,910,,981,Pup
YASHA,SE AK,,,10,,,,8,,9,,11,Pup
