SITE,REGION,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Type
YUNASKA,C ALEU,279,282,298,403,526,,,,348,358,,NP
AFOGNAK/TONKI CAPE,C GULF,0,16,2,0,,,0,,0,,0,NP
AGHIYUK,C GULF,9,0,,0,,,4,,47,,100,NP
AIUGNAK COLUMNS,C GULF,7,3,,,,,19,,1,,6,NP
CAPE DOUGLAS,C GULF,0,0,,0,,,0,,0,,0,NP
CAPE GULL,C GULF,0,0,,0,,,49,,87,,152,NP
CAPE KULIAK,C GULF,4,0,,0,,,0,,0,,36,NP
CAPE NUKSHAK,C GULF,0,0,,0,,,0,,0,,0,NP
CAPE UGYAK,C GULF,0,0,,0,,,0,,0,,0,NP
CHIRIKOF,C GULF,300,300,430,262,461,,584,,781,,594,NP
CHOWIET,C GULF,576,559,644,653,686,,877,,1014,,1154,NP
EAST CHUGACH,C GULF,0,0,0,0,,,0,,0,,0,NP
ELIZABETH/CAPE ELIZABETH,C GULF,0,0,0,0,,,0,,0,,0,NP
FLAT,C GULF,44,0,,0,,,0,,0,,0,NP
GORE POINT,C GULF,0,0,0,0,,,0,,0,,0,NP
KILOKAK ROCKS,C GULF,198,101,,142,187,,116,,200,,299,NP
KODIAK/CAPE ALITAK,C GULF,0,0,,0,,,0,,0,,0,NP
KODIAK/CAPE BARNABAS,C GULF,140,84,130,194,,,60,,0,,152,NP
KODIAK/CAPE CHINIAK,C GULF,241,130,116,110,234,,193,,132,,194,NP
KODIAK/CAPE IKOLIK,C GULF,33,57,,86,,,70,,210,,47,NP
KODIAK/CAPE KULIUK,C GULF,0,0,,0,,,0,,0,,0,NP
KODIAK/CAPE PARAMANOF,C GULF,0,0,,0,,,0,,0,,0,NP
KODIAK/CAPE UGAT,C GULF,248,285,270,140,212,,220,,150,,392,NP
KODIAK/CAPE UYAK,C GULF,0,0,,0,,,0,,0,,0,NP
KODIAK/GULL POINT,C GULF,148,109,89,72,,,36,,44,,50,NP
KODIAK/MALINA POINT,C GULF,0,0,,0,,,0,,0,,0,NP
KODIAK/STEEP CAPE,C GULF,61,38,,24,,,21,,38,,57,NP
KODIAK/STURGEON HEAD,C GULF,0,0,,0,,,0,,0,,0,NP
KODIAK/SUNDSTROM,C GULF,0,0,,0,,,0,,0,,0,NP
KODIAK/TOMBSTONE ROCKS,C GULF,0,0,,0,,,0,,0,,0,NP
LATAX ROCKS,C GULF,115,108,334,128,228,,348,,394,,366,NP
LONG ISLAND,C GULF,,59,39,0,,,146,,64,,24,NP
MARMOT,C GULF,551,644,748,576,829,,1050,,1450,,1319,NP
NAGAHUT ROCKS,C GULF,2,21,0,0,,,0,,22,,17,NP
NAGAI ROCKS,C GULF,449,234,218,201,254,,220,,251,,226,NP
NOISY,C GULF,0,0,,0,,,0,,0,,0,NP
NUKA POINT,C GULF,0,0,,0,,,0,,0,,0,NP
OUTER (PYE),C GULF,268,249,231,269,308,,255,,278,,346,NP
PERL,C GULF,241,144,150,217,140,,95,,44,,140,NP
PERL ROCKS,C GULF,0,0,,0,,,0,,0,,0,NP
PUALE BAY,C GULF,1,2,,84,0,,100,,124,,292,NP
SEA LION ROCKS (MARMOT),C GULF,1,13,2,0,,,12,,12,,50,NP
SEA OTTER,C GULF,100,48,27,6,,,84,,119,,204,NP
SHAKUN ROCKS,C GULF,113,81,,117,125,,224,,98,,214,NP
SHAW,C GULF,1,0,,0,,,0,,0,,0,NP
SITKINAK/CAPE SITKINAK,C GULF,104,115,62,76,,,156,,186,,244,NP
SUD,C GULF,0,0,,0,,,0,,0,,0,NP
SUGARLOAF,C GULF,662,849,844,788,1018,,1170,,975,,980,NP
SUTWIK,C GULF,127,93,106,148,286,,298,,262,,262,NP
TAKLI,C GULF,92,67,,74,,,0,,24,,1,NP
TWOHEADED,C GULF,228,204,251,244,353,,421,,540,,562,NP
UGAIUSHAK,C GULF,2,0,,,,,2,,5,,0,NP
UGAK,C GULF,0,0,0,0,,,0,,0,,0,NP
USHAGAT,C GULF,74,96,88,86,166,,296,,222,,417,NP
USHAGAT/ROCKS SOUTH,C GULF,0,45,28,28,,,38,,62,,56,NP
WEST AMATULI,C GULF,0,0,,0,,,0,,0,,0,NP
ADUGAK,E ALEU,472.5,635.5,620,564,492,,,510,,584,,NP
AIKTAK,E ALEU,42.5,42,61,,78,,,62,,15,,NP
AKUN/AKUN BAY,E ALEU,18,8,,,,,,0,,0,,NP
AKUN/AKUN HEAD,E ALEU,0,0,,0,,,,0,,0,,NP
AKUN/BILLINGS HEAD,E ALEU,523,385.5,,,,,,558,562,755,,NP
AKUN/JACKASS POINT,E ALEU,0,0,,,,,,0,,0,,NP
AKUTAN/BATTERY POINT,E ALEU,0,0,,0,,,,0,,1,,NP
