"region","variable","lower","median","upper"
1,"1",-0.810177153480272,-0.329214938887865,0.782449447284368
1,"2",-0.756581557024942,-0.123065440612921,0.675074570971959
1,"3",-0.201050393504679,0.643348656236847,0.856416205295604
1,"4",-0.201251854756874,0.643078028380985,0.856859882404029
1,"5",-0.20106824176635,0.642866769481526,0.856831657002159
1,"B",0.691179820834955,0.836606295831649,0.925551952705073
1,"Pup",-0.52954698950934,0.639859380746505,0.870737416653153
1,"psi4",-0.301749321658001,0.0613746140529693,0.506177303774801
1,"psiB",0.327145234250666,0.654263824273322,0.857753649934242
2,"1",-0.879568747742144,-0.582954649548155,0.787527092282968
2,"2",0.142802864918558,0.510925748284397,0.813075566500896
2,"3",-0.154951410698291,0.695417712658868,0.89386402313586
2,"4",-0.154422793209919,0.693408358118939,0.892213956598392
2,"5",-0.154424467770004,0.692679728687568,0.891360787519891
2,"B",0.499760808444692,0.734404950830213,0.877281730938534
2,"Pup",0.561311159834857,0.735985736282759,0.852658482307365
2,"psi4",-0.547673427369353,-0.0369197327369301,0.279219525603678
2,"psiB",0.212061509519512,0.595398623767989,0.783597749248243
3,"1",-0.798934374730791,-0.559277467710489,0.770264129282157
3,"2",-0.689618978762072,-0.355614161414625,0.734031488283804
3,"3",-0.215551625893021,0.57702823990639,0.809620832769409
3,"4",-0.215250627977256,0.576429936188867,0.809203468516408
3,"5",-0.215724874586824,0.576362615063635,0.809436807493798
3,"B",0.387267247693374,0.687010330519531,0.849049517324084
3,"Pup",-0.398050212104781,0.684096747513345,0.854061258190748
3,"psi4",-0.506922706112535,-0.104265240268801,0.344743135964682
3,"psiB",0.361071578763889,0.703257742981129,0.867302172681411
4,"1",-0.914991233969259,0.571400593097607,0.816523161946643
4,"2",-0.745340080311409,0.158412340168307,0.601260263420696
4,"3",-0.197510313183886,0.671230745855773,0.9007192074457
4,"4",-0.197629418598967,0.6704932640405,0.90009974240686
4,"5",-0.198126415481632,0.670233346840487,0.899750384300811
4,"B",0.478553927415907,0.788250579787587,0.908973558356728
4,"Pup",-0.7024594884451,0.731699184646992,0.886240786354275
4,"psi4",-0.526886371360474,-0.0532865982872003,0.392519852845386
4,"psiB",0.387365008841895,0.59705354983348,0.764615979906777
